,E_grad,Ewe/V,I_grad,i/mAcm^-2_geom,time_stamp
0,-5.4054121515887777e-08,0.12993088606666642,-3.7652523778367214e-05,-0.34124180414669636,1.545400000613881
1,-2.1193526173114286e-08,0.2997093476549416,-0.0002937862959452358,-0.1668986819661247,605.0683847543405
2,1.5082561443651683e-08,0.34957003834999917,-0.0002254436596760491,-0.17898550572643845,1201.545769686054
3,3.4726796785151054e-08,0.3995532864000008,-0.00015288700221050198,-0.16356664116698547,1801.545954528774
4,-4.5170400781080595e-08,0.4494709497833332,-0.0001265505088624031,-0.16992153601591503,2401.546139371494
5,9.259444843448252e-09,0.4996414159000013,-0.00028938184158115195,-0.1455816867565005,3001.546324214214
6,-1.0053024887467155e-07,0.5495477321666655,-0.0002791307577199529,-0.13032527695107768,3601.546509056934
7,4.509358413923417e-08,0.5995495353666689,-0.00037352352207278855,-0.07437614188551915,4201.546695288125
8,8.45733581719264e-09,0.6496809831999996,-0.00026611255752287887,-0.026696143085502742,4801.546888023804
9,5.112533096709257e-08,0.6996017365666649,-0.0004925477708167418,0.09202313901306275,5401.547080759483
10,-6.711449613062176e-08,0.7496126421333342,-0.0003609872959278834,0.1841620316854671,6001.547273495176
11,6.125360505718946e-08,0.7995250207166679,-0.0006424179399388368,0.30324394604654953,6601.547466230855
12,3.5460620319928765e-08,0.7496022663166677,9.175331633301829e-05,0.12406529647180681,7201.547658966534
13,1.3967662857004864e-08,0.6996015155333322,0.00010050538103953226,0.03496979694187372,7801.547851702213
14,7.203912459198286e-08,0.6496996646499998,0.0002356539617078643,-0.08332263594631416,8401.548044437906
15,5.507450309593523e-08,0.5995644587000015,0.0004688446028288046,-0.17150407050678276,9001.548237173585
16,-2.656934079211809e-08,0.5495695305333339,0.0004363924843816236,-0.25521825506069884,9601.548429909279
17,-9.538908362460369e-08,0.49965529045000107,0.0003685826042044825,-0.3024663671438644,10201.54862264496
18,2.3585765260947153e-09,0.449472095483333,0.0002749740578168379,-0.2911528881273958,10801.69821537883
19,-2.6873601057503516e-08,0.3995626742000009,0.00028923312534628084,-0.29472279219710296,11401.5520081163
20,2.1747963108888132e-08,0.34956574154999953,0.00031693197280221265,-0.3096016521261969,12001.66520085059
21,-1.0675835130047484e-08,0.29969107156666686,8.616763166445901e-05,-0.31846816766415853,12601.67399358617
22,-1.2363566475454706e-08,0.12992897021848726,0.0003093107098840312,-0.5000313159207381,13206.92018625836
