,E_grad,Ewe/V,I_grad,i/mAcm^-2_geom,time_stamp
0,1.955384074003661e-08,-0.16215600430000013,-0.0003621189378796456,-0.08694481870156955,3.174400077987229
2,-2.214362707404132e-08,-0.09967212662333332,-0.00034241208622099513,0.21144390662714077,603.1747849207022
4,6.051106820984889e-07,5.807000248866664e-05,-0.0004033801688903378,1.6893547701391252,1203.174969763422
6,-4.7275771092389395e-07,0.10020650229333329,-0.0007470549431778274,2.913831912233805,1803.175154606142
8,2.8066461532803314e-08,0.20016535841402353,-0.0005887201575908332,3.356251365710314,2404.175139423605
10,-8.081475617469767e-07,0.2999245995325547,-0.0004397394128525349,4.008287027724908,3004.175324266325
11,-1.2363815439122198e-07,0.3496016807166663,-0.0003546286754323237,4.268400666885248,3603.175709134302
12,-2.010978299825925e-07,0.3997731843499995,-0.00022123714282083418,4.535319531805077,4203.175895386914
13,-2.787683104842261e-08,0.4497663321666667,-0.00035949897646544825,4.652445804135262,4803.176088122593
14,1.6222807098754913e-07,0.4997001510166671,-0.00020351666800786904,4.818371552520259,5403.176280858272
15,1.4861932169777538e-07,0.5497884840499994,-0.0001929016481981055,5.037134401575294,6003.176473593951
16,-1.4906795840155576e-08,0.5997850274500005,-9.161913130117769e-05,5.382488543327681,6603.176666329644
17,-1.1848240214212084e-07,0.6495901179000004,-0.0002685248289649097,5.71343795098545,7203.176859065323
18,1.506283835041736e-07,0.6996327264833333,-0.00025209616845697227,6.010933748321324,7803.177051801002
19,1.6879754346844766e-07,0.5999028724666671,9.199547709709325e-05,5.156941857067693,8403.177244536724
20,-4.298206292989286e-08,0.4996499690666663,-3.162813253689484e-05,4.313682859397119,9003.177437272388
21,-1.838501813938347e-08,0.3996790955833331,4.800815379873995e-05,3.5340310380547804,9603.177630008067
1,2.6928504682667206e-08,0.19959080140000016,-2.8987265859088283e-05,1.914566925124369,10803.17801547944
3,6.074830267818898e-08,0.09962995245999995,-1.587967215491613e-05,1.1145009475255145,11403.17820821513
5,6.690356601009076e-09,-0.00030327239863333353,4.157004705028348e-06,0.3374074456409059,12003.1784009508
7,4.8993138346178254e-08,-0.10029072325166667,-2.8395750343997095e-05,-0.43213489470046407,12603.17859368648
9,-1.332830377722222e-08,-0.16245445749999987,1.6656211725786867e-05,-0.9078772119091436,13203.17878642216
